student_id,assessment_id,score
IND00000,101,49.3
IND00000,102,74.2
IND00000,103,67.0
IND00001,101,32.5
IND00001,102,79.7
IND00001,103,57.2
IND00002,101,55.9
IND00002,102,79.3
IND00002,103,62.6
IND00003,101,74.0
IND00003,102,55.2
IND00003,103,77.1
IND00004,101,68.0
IND00004,102,71.1
IND00004,103,62.3
IND00005,101,89.4
IND00005,102,93.1
IND00005,103,31.9
IND00006,101,78.9
IND00006,102,48.8
IND00006,103,72.6
IND00007,101,38.3
IND00007,102,71.0
IND00007,103,52.5
IND00008,101,58.1
IND00008,102,58.5
IND00008,103,54.0
IND00009,101,54.4
IND00009,102,59.0
IND00009,103,62.7
IND00010,101,69.8
IND00010,102,92.9
IND00010,103,50.8
IND00011,101,66.9
IND00011,102,76.6
IND00011,103,54.4
IND00012,101,31.1
IND00012,102,36.4
IND00012,103,31.7
IND00013,101,88.1
IND00013,102,74.2
IND00013,103,76.3
IND00014,101,79.7
IND00014,102,56.4
IND00014,103,99.5
IND00015,101,70.0
IND00015,102,63.9
IND00015,103,81.7
IND00016,101,75.0
IND00016,102,85.0
IND00016,103,85.9
IND00017,101,59.7
IND00017,102,67.8
IND00017,103,51.4
IND00018,101,40.6
IND00018,102,77.6
IND00018,103,79.4
IND00019,101,35.3
IND00019,102,54.2
IND00019,103,65.8
IND00020,101,67.3
IND00020,102,95.7
IND00020,103,55.6
IND00021,101,62.4
IND00021,102,74.7
IND00021,103,59.7
IND00022,101,57.4
IND00022,102,56.2
IND00022,103,68.5
IND00023,101,62.4
IND00023,102,75.2
IND00023,103,70.4
IND00024,101,21.3
IND00024,102,38.7
IND00024,103,57.5
IND00025,101,79.7
IND00025,102,55.2
IND00025,103,70.6
IND00026,101,74.0
IND00026,102,73.1
IND00026,103,56.8
IND00027,101,47.8
IND00027,102,45.3
IND00027,103,100.0
IND00028,101,71.8
IND00028,102,92.6
IND00028,103,52.5
IND00029,101,83.7
IND00029,102,57.8
IND00029,103,64.6
IND00030,101,60.7
IND00030,102,51.8
IND00030,103,52.0
IND00031,101,64.4
IND00031,102,56.2
IND00031,103,66.9
IND00032,101,52.4
IND00032,102,75.6
IND00032,103,58.1
IND00033,101,89.6
IND00033,102,64.2
IND00033,103,63.5
IND00034,101,89.1
IND00034,102,57.6
IND00034,103,58.9
IND00035,101,54.5
IND00035,102,68.1
IND00035,103,54.0
IND00036,101,76.6
IND00036,102,64.3
IND00036,103,77.6
IND00037,101,75.9
IND00037,102,57.3
IND00037,103,53.9
IND00038,101,60.1
IND00038,102,65.1
IND00038,103,70.0
IND00039,101,71.7
IND00039,102,64.5
IND00039,103,54.8
IND00040,101,56.2
IND00040,102,72.8
IND00040,103,55.2
IND00041,101,73.4
IND00041,102,73.9
IND00041,103,88.0
IND00042,101,57.8
IND00042,102,60.1
IND00042,103,30.3
IND00043,101,50.9
IND00043,102,50.7
IND00043,103,72.6
IND00044,101,92.1
IND00044,102,73.7
IND00044,103,79.9
IND00045,101,54.3
IND00045,102,47.0
IND00045,103,61.4
IND00046,101,55.6
IND00046,102,52.1
IND00046,103,68.3
IND00047,101,47.2
IND00047,102,77.4
IND00047,103,59.0
IND00048,101,64.3
IND00048,102,66.5
IND00048,103,58.0
IND00049,101,84.0
