student_id,gender,age_band,region,school_board,medium_of_instruction,highest_education,parental_education,family_income,internet_access,device_type,data_recharge_frequency,disability,studied_credits,num_of_prev_attempts,has_private_tuition,daily_study_hours,attendance_rate
IND00000,M,25-35,Central,CBSE,Regional,10th,PG,5L-10L,Yes,Mobile,Daily,No,97,1,Yes,2.5,97.5
IND00001,F,35-45,East,State,Hindi,No formal,UG,1L-5L,No,Tablet,Daily,No,47,1,No,2.3,85.7
IND00002,M,45-55,South,ICSE,English,No formal,10th,1L-5L,No,Desktop,Weekly,No,70,2,Yes,1.6,85.9
IND00003,M,25-35,East,ICSE,English,No formal,No formal,10L+,Yes,Tablet,Daily,No,98,0,No,3.0,80.0
IND00004,M,<18,Central,CBSE,English,10th,10th,10L+,Yes,Desktop,Daily,No,54,3,No,2.0,97.5
IND00005,F,35-45,West,CBSE,Regional,PG,UG,<1L,Yes,Laptop,Weekly,No,85,0,No,2.3,89.6
IND00006,M,45-55,South,ICSE,Hindi,UG,No formal,<1L,Yes,Mobile,Monthly,No,30,0,Yes,2.1,76.3
IND00007,M,<18,North,State,Hindi,12th,12th,5L-10L,Yes,Desktop,Daily,No,84,1,No,3.2,87.6
IND00008,M,<18,North,State,Regional,PG,12th,10L+,Yes,Laptop,Monthly,No,32,3,Yes,3.3,72.7
IND00009,F,<18,East,CBSE,Hindi,No formal,12th,<1L,Yes,Laptop,Weekly,No,83,1,No,1.6,77.2
IND00010,M,<18,West,CBSE,Hindi,10th,UG,<1L,Yes,Laptop,Daily,No,110,2,No,1.9,94.7
IND00011,M,25-35,North,ICSE,English,10th,12th,<1L,Yes,Tablet,Weekly,No,61,1,Yes,1.8,83.9
IND00012,M,55<=,East,ICSE,Hindi,12th,No formal,10L+,Yes,Laptop,Monthly,No,117,0,No,2.7,86.6
IND00013,M,25-35,Central,CBSE,Hindi,UG,12th,10L+,Yes,Desktop,Weekly,No,31,3,No,3.4,91.7
IND00014,F,25-35,East,ICSE,Regional,PG,No formal,5L-10L,Yes,Tablet,Daily,Yes,94,3,No,2.7,85.5
IND00015,M,45-55,East,CBSE,Regional,PG,UG,10L+,Yes,Mobile,Weekly,No,37,3,Yes,0.3,71.9
IND00016,F,45-55,East,CBSE,English,PG,10th,10L+,Yes,Laptop,Weekly,No,87,1,No,3.3,96.6
IND00017,F,55<=,South,State,Regional,UG,PG,10L+,Yes,Desktop,Weekly,No,82,1,Yes,1.2,85.2
IND00018,F,45-55,East,CBSE,English,UG,12th,5L-10L,Yes,Desktop,Monthly,Yes,73,1,No,1.8,85.9
IND00019,M,18-25,East,ICSE,English,UG,PG,1L-5L,Yes,Tablet,Monthly,No,102,2,Yes,2.7,80.6
IND00020,F,55<=,South,State,Hindi,12th,10th,1L-5L,Yes,Mobile,Monthly,No,57,1,Yes,2.4,91.1
IND00021,M,45-55,South,State,English,10th,UG,<1L,Yes,Tablet,Monthly,No,48,2,No,3.4,99.1
IND00022,F,55<=,Central,ICSE,Hindi,No formal,UG,1L-5L,Yes,Laptop,Daily,No,85,1,Yes,1.9,76.2
IND00023,F,25-35,West,ICSE,English,UG,10th,1L-5L,Yes,Mobile,Monthly,No,49,2,No,1.5,90.7
IND00024,F,25-35,North,ICSE,Regional,10th,PG,5L-10L,No,Mobile,Monthly,No,100,0,No,2.2,80.3
IND00025,F,55<=,North,CBSE,Regional,UG,12th,5L-10L,Yes,Mobile,Daily,No,85,0,No,3.5,60.0
IND00026,F,18-25,East,State,Regional,No formal,No formal,1L-5L,Yes,Tablet,Monthly,No,64,3,Yes,3.1,66.0
IND00027,F,18-25,Central,CBSE,English,UG,UG,1L-5L,Yes,Desktop,Weekly,No,48,0,Yes,2.6,84.2
IND00028,F,55<=,East,CBSE,English,10th,10th,1L-5L,Yes,Tablet,Monthly,No,110,3,Yes,3.8,90.1
IND00029,F,45-55,North,CBSE,Hindi,12th,PG,<1L,Yes,Desktop,Daily,No,92,2,No,3.6,86.1
IND00030,M,35-45,South,CBSE,Hindi,No formal,12th,5L-10L,Yes,Tablet,Weekly,No,111,3,No,3.3,87.7
IND00031,M,18-25,West,State,Hindi,10th,PG,1L-5L,Yes,Desktop,Daily,No,36,0,No,1.3,100.0
IND00032,F,<18,Central,State,Hindi,PG,12th,10L+,No,Desktop,Weekly,No,56,2,No,3.3,85.3
IND00033,F,25-35,South,CBSE,English,PG,No formal,1L-5L,Yes,Mobile,Weekly,No,68,3,Yes,2.3,77.4
IND00034,F,55<=,West,ICSE,English,PG,No formal,10L+,No,Desktop,Weekly,No,59,2,Yes,2.1,78.7
IND00035,M,<18,Central,State,Hindi,12th,10th,<1L,Yes,Laptop,Daily,No,52,2,Yes,1.8,96.4
